"","od","num_airlines","average_delay","origin","dest","airport_origin","city_origin","state_origin","country_origin","latitude_origin","longitude_origin","airport_destination","city_destination","state_destination","country_destination","latitude_destination","longitude_destination"
"153","CLEMCO",4,0.116672466032718,"CLE","MCO","Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494,"Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603
"154","DENFLL",3,0.115588975456962,"DEN","FLL","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Fort Lauderdale-Hollywood International Airport","Ft. Lauderdale","FL","USA",26.07258,-80.15275
"155","ATLMSY",3,0.115142103251704,"ATL","MSY","Hartsfield-Jackson Atlanta International Airport","Atlanta","GA","USA",33.64044,-84.42694,"Louis Armstrong New Orleans International Airport","New Orleans","LA","USA",29.99339,-90.25803
"156","LAXMSY",3,0.114915559182915,"LAX","MSY","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Louis Armstrong New Orleans International Airport","New Orleans","LA","USA",29.99339,-90.25803
"157","DFWPDX",3,0.114368528477912,"DFW","PDX","Dallas/Fort Worth International Airport","Dallas-Fort Worth","TX","USA",32.89595,-97.0372,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"158","INDLAX",3,0.114050869201665,"IND","LAX","Indianapolis International Airport","Indianapolis","IN","USA",39.71733,-86.29438,"Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807
"159","DENPDX",3,0.112794614416592,"DEN","PDX","Denver International Airport","Denver","CO","USA",39.85841,-104.667,"Portland International Airport","Portland","OR","USA",45.58872,-122.5975
"160","DTWLAS",3,0.112689805296462,"DTW","LAS","Detroit Metropolitan Airport","Detroit","MI","USA",42.21206,-83.34884,"McCarran International Airport","Las Vegas","NV","USA",36.08036,-115.15233
"161","MCOMSP",3,0.11131421072366,"MCO","MSP","Orlando International Airport","Orlando","FL","USA",28.42889,-81.31603,"Minneapolis-Saint Paul International Airport","Minneapolis","MN","USA",44.88055,-93.21692
"162","CLEDEN",3,0.110188027254164,"CLE","DEN","Cleveland Hopkins International Airport","Cleveland","OH","USA",41.41089,-81.8494,"Denver International Airport","Denver","CO","USA",39.85841,-104.667
"163","LAXSLC",3,0.11007301387532,"LAX","SLC","Los Angeles International Airport","Los Angeles","CA","USA",33.94254,-118.40807,"Salt Lake City International Airport","Salt Lake City","UT","USA",40.78839,-111.97777
